freq,psd_x,psd_y,psd_z,psd_xyz
146.8,1.986e+04,2.971e+03,1.239e+03,2.407e+04
148.5,2.859e+04,2.815e+03,8.705e+02,3.227e+04
150.2,3.701e+04,2.711e+03,7.196e+02,4.044e+04
151.9,4.550e+04,2.827e+03,5.761e+02,4.890e+04
153.5,5.449e+04,3.064e+03,4.672e+02,5.802e+04
155.2,6.176e+04,3.390e+03,4.480e+02,6.559e+04
156.9,6.885e+04,3.537e+03,4.313e+02,7.281e+04
158.6,8.272e+04,3.320e+03,4.496e+02,8.649e+04
160.3,9.281e+04,3.119e+03,5.013e+02,9.643e+04
162.0,1.068e+05,2.683e+03,5.880e+02,1.101e+05
163.7,1.274e+05,2.434e+03,7.516e+02,1.306e+05
165.4,1.566e+05,2.383e+03,9.534e+02,1.599e+05
167.0,1.966e+05,2.799e+03,1.325e+03,2.007e+05
168.7,2.134e+05,3.333e+03,1.642e+03,2.184e+05
170.4,2.273e+05,3.451e+03,1.673e+03,2.325e+05
172.1,2.490e+05,3.896e+03,1.737e+03,2.546e+05
173.8,2.513e+05,3.888e+03,1.727e+03,2.570e+05
175.5,2.563e+05,3.921e+03,1.641e+03,2.618e+05
177.2,2.559e+05,4.367e+03,1.631e+03,2.619e+05
178.9,2.403e+05,4.559e+03,1.604e+03,2.464e+05
180.5,2.341e+05,4.278e+03,1.485e+03,2.399e+05
182.2,2.501e+05,4.231e+03,1.481e+03,2.559e+05
183.9,2.726e+05,4.582e+03,1.666e+03,2.788e+05
185.6,2.773e+05,4.712e+03,1.858e+03,2.839e+05
187.3,2.810e+05,4.521e+03,1.953e+03,2.875e+05
189.0,2.679e+05,4.381e+03,1.982e+03,2.743e+05
190.7,2.407e+05,4.669e+03,1.966e+03,2.473e+05
192.4,2.241e+05,4.918e+03,2.031e+03,2.310e+05
194.0,2.238e+05,4.904e+03,2.068e+03,2.308e+05
195.7,2.562e+05,4.696e+03,1.978e+03,2.629e+05
197.4,3.079e+05,4.611e+03,1.811e+03,3.143e+05
199.1,3.471e+05,4.532e+03,1.651e+03,3.533e+05
